original_id	templeate_id	caption_0	caption_1	class	template	modification_rule	template_details	modification_examples
0	0_v1	an old person kisses a young person	a young person kisses an old person	no-tag	Subject-Verb-Object	Subject-Object	{"structure": "Subject-Verb-Object", "structure_reason": "Both sentences follow the same basic structure of Subject-Verb-Object, with the subject being the person who is doing the kissing and the object being the person who is being kissed.", "swapped_elements": "Subject-Object", "swapped_elements_reason": "The only difference between the two sentences is the swapping of the subject and object. In the first sentence, the old person is the subject and the young person is the object, while in the second sentence, this is reversed and the young person is the subject and the old person is the object."}	For example, new_text_1 = \an old person kisses a young person\". Only Swap the \"an old person\" and \"a young person\" and keep the other words unchanged to generate \"new_text_2\"=\"a young person kisses an old person\" "
0	0_v2	an old person kisses a young person	a young person kisses an old person	no-tag	Adjective-Subject-Verb-Adjective-Object	Adjective (in the first Adjective-Subject-Noun Phrase)-Adjective (in the second Adjective-Object-Noun Phrase)	{"structure": "Adjective-Subject-Verb-Adjective-Object", "structure_reason": "Both sentences adopt a similar basic syntactic structure which involves a subject (performing an action) and an object (on which the action is performed), each accompanied by an adjective to convey more detail. The first adjective describes the subject of the sentence and the second adjective describes the object. Importantly, the subject and the object in both sentences are of the same type or category.", "swapped_elements": "Adjective (in the first Adjective-Subject-Noun Phrase)-Adjective (in the second Adjective-Object-Noun Phrase)", "swapped_elements_reason": "The two sentences represent the very same action of kissing by two individuals, and the only difference between them is the swap of the subject and object position. The 'swapping' therefore highlights a fundamental descriptor of a symmetric linguistic relationship between subject and object of kissing, namely that its constituent entities are inter-changeable, and the subject of the former sentence is being kissed in the latter sentence. This highlights that the same type of entity appears in both positions."}	For example, new_text_1 = \an old person kisses a young person\". Only Swap the \"old\" and \"young\" and keep the other words unchanged to generate \"new_text_2\"=\"a young person kisses an old person\" "
0	0_v3	an old person kisses a young person	a young person kisses an old person	no-tag	Adjective(Age)-Subject-Verb-Adjective(Age)-Object	Adjective (in the first Age related Adjective-Subject-Noun Phrase)-Adjective (in the second Age related Adjective-Object-Noun Phrase)	{"structure": "Adjective(Age)-Subject-Verb-Adjective(Age)-Object", "structure_reason": "Both sentences follow a simple SVO (Subject-Verb-Object) structure, with the addition of an age-related adjective describing each entity. Specifically, the first age-related adjective describes the subject and the second age-related adjective describes the object.", "swapped_elements": "Adjective (in the first Age related Adjective-Subject-Noun Phrase)-Adjective (in the second Age related Adjective-Object-Noun Phrase)", "swapped_elements_reason": "The only difference between the two sentences is the order of the subject and object, which results in the swapping of the age-related adjectives that modify them."}	For example, new_text_1 = \an old person kisses a young person\". Only Swap the \"old\" and \"young\" and keep the other words unchanged to generate \"new_text_2\"=\"a young person kisses an old person\" "
1	1_v1	the taller person hugs the shorter person	the shorter person hugs the taller person	no-tag	Subject + Predicate + Object	Subject + Object	{"structure": "Subject + Predicate + Object","structure_reason": "Both sentences follow the SVO (Subject-Verb-Object) structure, which is a common syntax structure in English sentences.", "swapped_elements": "Subject + Object", "swapped_elements_reason": "In the first sentence, the subject 'the taller person' performs the action of hugging the object 'the shorter person'. In the second sentence, the subject 'the shorter person' performs the action of hugging the object 'the taller person'. Therefore, the subject and object are swapped between the two sentences."}	For example, new_text_1 = \the taller person hugs the shorter person\". Only Swap the \"the taller person\" and \"the shorter person\" and keep the other words unchanged to generate \"new_text_2\"=\"the shorter person hugs the taller person\" "
1	1_v2	the taller person hugs the shorter person	the shorter person hugs the taller person	no-tag	Adjective-Subject-Verb-Adjective-Object	Adjective (in the first Adjective-Subject-Noun Phrase)-Adjective (in the second Adjective-Object-Noun Phrase)	{"structure": "Adjective-Subject-Verb-Adjective-Object", "structure_reason": "Both sentences have the same basic structure with adjectives modifying subjects and objects", "swapped_elements": "Adjective (in the first Adjective-Subject-Noun Phrase)-Adjective (in the second Adjective-Object-Noun Phrase)", "swapped_elements_reason": "In each sentence, the adjectives describing the subject and object are swapped, altering the meaning while keeping the same syntax structure"}	For example, new_text_1 = \the taller person hugs the shorter person\". Only Swap the \"taller\" and \"shorter\" and keep the other words unchanged to generate \"new_text_2\"=\"the shorter person hugs the taller person\" "
1	1_v3	the taller person hugs the shorter person	the shorter person hugs the taller person	no-tag	Adjective(Size)-Subject-Verb-Adjective(Size)-Object	Adjective (in the Size related Adjective-Noun Subject Phrase)-Adjective (in the Size related Adjective-Noun Object Phrase)	{"structure": "Adjective(Size)-Subject-Verb-Adjective(Size)-Object", "structure_reason": "Both sentences have the same basic structure with size related adjectives modifying subjects and objects", "swapped_elements": "Adjective (in the Size related Adjective-Noun Subject Phrase)-Adjective (in the Size related Adjective-Noun Object Phrase)", "swapped_elements_reason": "In each sentence, the size adjectives describing the subject and object are swapped, altering the meaning while keeping the same syntax structure"}	For example, new_text_1 = \the taller person hugs the shorter person\". Only Swap the \"taller\" and \"shorter\" and keep the other words unchanged to generate \"new_text_2\"=\"the shorter person hugs the taller person\" "
2	2_v1	the masked wrestler hits the unmasked wrestler	the unmasked wrestler hits the masked wrestler	no-tag	Subject-Verb-Object	Subject-Object	{"structure": "Subject-Verb-Object","structure_reason": "Both sentences follow the same basic structure of Subject-Verb-Object, where the subject is the doer of the action, the verb is the action being performed, and the object is the recipient of the action.","swapped_elements": "Subject-Object","swapped_elements_reason": "The only difference between the two sentences is the swapping of the subject and object. In the first sentence, the masked wrestler is the subject and the unmasked wrestler is the object, while in the second sentence, this is reversed and the unmasked wrestler is the subject and the masked wrestler is the object."}	For example, new_text_1 = \masked wrestler hits the unmasked wrestler\". Only Swap the \"the masked wrestler\" and \"the unmasked wrestler\" and keep the other words unchanged to generate \"new_text_2\"=\"unmasked wrestler hits the masked wrestler\" "
2	2_v2	the masked wrestler hits the unmasked wrestler	the unmasked wrestler hits the masked wrestler	no-tag	Adjective-Subject-Verb-Adjective-Object	Adjective (in the first Adjective-Subject-Noun Phrase)-Adjective (in the second Adjective-Object-Noun Phrase)	{"structure": "Adjective-Subject-Verb-Adjective-Object","structure_reason": "Both sentences follow the same basic structure of Adjective-Subject-Verb-Adjective-Object, where there are adjectives describing both the subject and object, followed by a verb and then the object.","swapped_elements": "Adjective (in the first Adjective-Subject-Noun Phrase)-Adjective (in the second Adjective-Object-Noun Phrase)","swapped_elements_reason": "The only difference between the two sentences is the adjectives describing the subject and object, which are swapped. This difference creates a semantic difference between the two sentences, indicating that the two wrestlers have switched roles."}	For example, new_text_1 = \masked wrestler hits the unmasked wrestler\". Only Swap the \"masked\" and \"unmasked\" and keep the other words unchanged to generate \"new_text_2\"=\"unmasked wrestler hits the masked wrestler\" "
2	2_v3	the masked wrestler hits the unmasked wrestler	the unmasked wrestler hits the masked wrestler	no-tag	Adjective(Manner)-Subject-Verb-Adjective(Manner)-Object	Adjective(Manner)-Subject and Adjective(Manner)-Object	{"structure": "Adjective(Manner)-Subject-Verb-Adjective(Manner)-Object","structure_reason": "Both sentences have the same structure with an adjective describing the subject and object, followed by a subject, verb, and object", "swapped_elements": "Adjective(Manner)-Subject and Adjective(Manner)-Object", "swapped_elements_reason": "The adjectives and subjects/objects are swapped, while the verb remains the same in both sentences"}	For example, new_text_1 = \masked wrestler hits the unmasked wrestler\". Only Swap the \"masked\" and \"unmasked\" and keep the other words unchanged to generate \"new_text_2\"=\"unmasked wrestler hits the masked wrestler\" "
5	5	a bird eats a snake	a snake eats a bird	no-tag	Subject-Verb-Object	Subject, Object	{"structure": "Subject-Verb-Object","structure_reason": "Both sentences follow the Subject-Verb-Object structure, where the subject performs the action on the object.","swapped_elements": "Subject, Object", "swapped_elements_reason": "In the first sentence, the subject is 'a bird' and the object is 'a snake'. In the second sentence, the subject is 'a snake' and the object is 'a bird'. Therefore, the subject and object are swapped between the two sentences."}	For example, new_text_1 = \a bird eats a snake\". Only Swap the \"a bird\" and \"a snake\" and keep the other words unchanged to generate \"new_text_2\"=\"a snake eats a bird\" "
