id	caption_0	caption_1	class
0	an old person kisses a young person	a young person kisses an old person	no-tag
1	the taller person hugs the shorter person	the shorter person hugs the taller person	no-tag
2	the masked wrestler hits the unmasked wrestler	the unmasked wrestler hits the masked wrestler	no-tag
3	a person watches an animal	an animal watches a person	ambiguously-correct
4	the person without earrings pays the person with earrings	the person with earrings pays the person without earrings	visuallydifficult
5	a bird eats a snake	a snake eats a bird	no-tag
6	a plant was harmed by another organism, and that organism broke the plant into pieces	another organism was harmed by a plant, and that plant broke the organism into pieces	no-tag
7	a bottle is in water	water is in a bottle	no-tag
8	a tree smashed into a car	a car smashed into a tree	no-tag
9	people fall on the leaves	the leaves fall on people	no-tag
10	the sail rests below the water	the water rests below the sail	unusual-text
11	there is a table below someone	there is someone below a table	no-tag
12	the image shows a computer on top of books	the image shows books on top of a computer	no-tag
13	a caterpillar with some plants	a plant with some caterpillars	ambiguously-correct
14	there is a mug in some grass	there is some grass in a mug	no-tag
15	there are more skiers than snowboarders	there are more snowboarders than skiers	no-tag
16	there are fewer forks than spoons	there are fewer spoons than forks	complex-reasoning
17	there are more ladybugs than flowers	there are more flowers than ladybugs	no-tag
18	there is less orange juice than milk	there is less milk than orange juice	no-tag
19	there is more dirt than empty space in the jar	there is more empty space than dirt in the jar	no-tag
20	there is a bit less milk chocolate than white chocolate	there is a bit less white chocolate than milk chocolate	no-tag
21	a person sits and a dog stands	a person stands and a dog sits	no-tag
22	The person with more facial hair lies awake while the other sleeps	The person with more facial hair sleeps while the other lies awake	visuallydifficult
23	the person in the middle is floating and some others are standing	the person in the middle is standing and some others are floating	visuallydifficult
24	the person closer to the camera weightlifts and the person farther from the camera runs	the person closer to the camera runs and the person farther from the camera weightlifts	no-tag
25	the person with the white collared shirt waters the plant while the other holds it	the person with the white collared shirt holds the plant while the other waters it	visuallydifficult
26	the taller person chops food and the shorter person eats food	the taller person eats food and the shorter person chops food	no-tag
27	the person with the ponytail packs stuff and other buys it	the person with the ponytail buys stuff and other packs it	visuallydifficult
28	a person walking in a field of yellow flowers with a red dress	a person walking in a field of red flowers with a yellow dress	visuallydifficult
29	a brown dog is on a white couch	a white dog is on a brown couch	no-tag
30	a blue bird is next to a red berry	a red bird is next to a blue berry	no-tag
31	The red book is above the yellow book and below the blue book	The yellow book is above the blue book and below the red book	visuallydifficult
32	astronauts in blue suits with a red planet in the background	astronauts in red suits with a blue planet in the background	no-tag
33	the square table has a round base	the round table has a square base	no-tag
34	pointy bushes are behind rectangular bushes	rectangular bushes are behind pointy bushes	no-tag
35	a circular sign is above a rectangular sign	a rectangular sign is above a circular sign	no-tag
36	a wood chess piece rests on metal objects	a metal chess piece rests on wood objects	visuallydifficult
37	soft shoes are on a smooth floor	smooth shoes are on a soft floor	no-tag
38	the happy person is on the right and the sad person is on the left	the sad person is on the right and the happy person is on the left	unusual-image
39	the hurt person is on the left and the helpful person is on the right	the helpful person is on the left and the hurt person is on the right	no-tag
40	the more content person has the healthier food and the less content person has the less healthy food	the less content person has the healthier food and the more content person has the less healthy food	complex-reasoning
41	the orange lollipop is sad and the red lollipop is surprised	the orange lollipop is surprised and the red lollipop is sad	unusual-image
42	the larger person wears yellow and the smaller person does not	the smaller person wears yellow and the larger person does not	unusual-image
43	a big cat is next to a small dog	a small cat is next to a big dog	no-tag
44	the heavy oncoming traffic is contrasted with the light outgoing traffic	the light oncoming traffic is contrasted with the heavy outgoing traffic	complex-reasoning
45	a cold drink on a hot day	a hot drink on a cold day	no-tag
46	a person is drinking now and eating later	a person is drinking later and eating now	ambiguously-correct
47	the sailboat sails close but the beach is far away	the sailboat sails far away but the beach is close	no-tag
48	the passenger is riding inattentive to the road and the driver is driving attentive to the road	the passenger is riding attentive to the road and the driver is driving inattentive to the road	no-tag
49	it wears a hat but the person doesn't	the person wears a hat but it doesn't	unusual-text
50	the person with green legs is running quite slowly and the red legged one runs faster	the person with green legs is running faster and the red legged one runs quite slowly	no-tag
51	a person is in the water and close to the sand	a person is close to the water and in the sand	no-tag
52	a frog is above rocks which are under the water	a frog is under rocks which are above the water	no-tag
53	driving off the road and on the unpaved terrain	driving on the road and off the unpaved terrain	no-tag
54	someone is in a helicopter with a car	someone is with a helicopter in a car	no-tag
55	the green one can fit inside the blue one and the blue one can fit outside the green one	the green one can fit outside the blue one and the blue one can fit inside the green one	complex-reasoning
56	jumping away from the photographer and towards the others	jumping towards the photographer and away from the others	no-tag
57	someone bakes the dough before the dough is eaten	the dough is eaten before someone bakes the dough	no-tag
58	it hatched before it was eaten	it was eaten before it hatched	visuallydifficult
59	there are three bananas and two apples	there are two bananas and three apples	no-tag
60	someone has loaded their plate with one of the toast slices and two of the eggs	someone has loaded their plate with two of the toast slices and one of the eggs	no-tag
