id	caption_0	caption_1	tag	secondary_tag	num_main_preds	collapsed_tag
0	an old person kisses a young person	a young person kisses an old person	Adjective-Age		1	Relation
1	the taller person hugs the shorter person	the shorter person hugs the taller person	Adjective-Size		1	Relation
2	the masked wrestler hits the unmasked wrestler	the unmasked wrestler hits the masked wrestler	Adjective-Manner	Series	1	Relation
3	a person watches an animal	an animal watches a person	Noun		1	Object
4	the person without earrings pays the person with earrings	the person with earrings pays the person without earrings	Negation, Scope	Morpheme-Level	1	Relation
5	a bird eats a snake	a snake eats a bird	Noun		1	Object
6	a plant was harmed by another organism, and that organism broke the plant into pieces	another organism was harmed by a plant, and that plant broke the organism into pieces	Determiner-Numeral, Noun Phrase		1	Object
7	a bottle is in water	water is in a bottle	Noun Phrase		1	Object
8	a tree smashed into a car	a car smashed into a tree	Noun		1	Object
9	people fall on the leaves	the leaves fall on people	Noun Phrase		1	Object
10	the sail rests below the water	the water rests below the sail	Noun	Series	1	Object
11	there is a table below someone	there is someone below a table	Noun Phrase		1	Object
12	the image shows a computer on top of books	the image shows books on top of a computer	Noun Phrase		1	Object
13	a caterpillar with some plants	a plant with some caterpillars	Noun	Morpheme-Level	1	Object
14	there is a mug in some grass	there is some grass in a mug	Determiner-Numeral, Noun Phrase		1	Object
15	there are more skiers than snowboarders	there are more snowboarders than skiers	Noun		1	Object
16	there are fewer forks than spoons	there are fewer spoons than forks	Noun		1	Object
17	there are more ladybugs than flowers	there are more flowers than ladybugs	Noun		1	Object
18	there is less orange juice than milk	there is less milk than orange juice	Noun		1	Object
19	there is more dirt than empty space in the jar	there is more empty space than dirt in the jar	Noun		1	Object
20	there is a bit less milk chocolate than white chocolate	there is a bit less white chocolate than milk chocolate	Adjective-Manner		1	Relation
21	a person sits and a dog stands	a person stands and a dog sits	Verb-Intransitive		2	Relation
22	The person with more facial hair lies awake while the other sleeps	The person with more facial hair sleeps while the other lies awake	Verb-Intransitive		2	Relation
23	the person in the middle is floating and some others are standing	the person in the middle is standing and some others are floating	Verb-Intransitive	Series	2	Relation
24	the person closer to the camera weightlifts and the person farther from the camera runs	the person closer to the camera runs and the person farther from the camera weightlifts	Verb-Intransitive		2	Relation
25	the person with the white collared shirt waters the plant while the other holds it	the person with the white collared shirt holds the plant while the other waters it	Verb-Transitive		2	Relation
26	the taller person chops food and the shorter person eats food	the taller person eats food and the shorter person chops food	Verb-Transitive		2	Relation
27	the person with the ponytail packs stuff and other buys it	the person with the ponytail buys stuff and other packs it	Verb-Transitive	Series	2	Relation
28	a person walking in a field of yellow flowers with a red dress	a person walking in a field of red flowers with a yellow dress	Adjective-Color		1	Relation
29	a brown dog is on a white couch	a white dog is on a brown couch	Adjective-Color		1	Relation
30	a blue bird is next to a red berry	a red bird is next to a blue berry	Adjective-Color		1	Relation
31	The red book is above the yellow book and below the blue book	The yellow book is above the blue book and below the red book	Adjective-Color (3-way swap)	Symbolic	2	Relation
32	astronauts in blue suits with a red planet in the background	astronauts in red suits with a blue planet in the background	Adjective-Color	Symbolic	1	Relation
33	the square table has a round base	the round table has a square base	Adjective-Shape		1	Relation
34	pointy bushes are behind rectangular bushes	rectangular bushes are behind pointy bushes	Adjective-Shape		1	Relation
35	a circular sign is above a rectangular sign	a rectangular sign is above a circular sign	Adjective-Shape		1	Relation
36	a wood chess piece rests on metal objects	a metal chess piece rests on wood objects	Adjective-Texture		1	Relation
37	soft shoes are on a smooth floor	smooth shoes are on a soft floor	Adjective-Texture		1	Relation
38	the happy person is on the right and the sad person is on the left	the sad person is on the right and the happy person is on the left	Adjective-Animate		2	Relation
39	the hurt person is on the left and the helpful person is on the right	the helpful person is on the left and the hurt person is on the right	Adjective-Animate		2	Relation
40	the more content person has the healthier food and the less content person has the less healthy food	the less content person has the healthier food and the more content person has the less healthy food	Adjective-Animate		2	Relation
41	the orange lollipop is sad and the red lollipop is surprised	the orange lollipop is surprised and the red lollipop is sad	Adjective-Animate	Symbolic, Series	2	Relation
42	the larger person wears yellow and the smaller person does not	the smaller person wears yellow and the larger person does not	Adjective-Size		2	Relation
43	a big cat is next to a small dog	a small cat is next to a big dog	Adjective-Size		1	Relation
44	the heavy oncoming traffic is contrasted with the light outgoing traffic	the light oncoming traffic is contrasted with the heavy outgoing traffic	Adjective-Weight		1	Relation
45	a cold drink on a hot day	a hot drink on a cold day	Adjective-Temperature		1	Relation
46	a person is drinking now and eating later	a person is drinking later and eating now	Adverb-Temporal		2	Relation
47	the sailboat sails close but the beach is far away	the sailboat sails far away but the beach is close	Adverb-Spatial Phrase		2	Relation
48	the passenger is riding inattentive to the road and the driver is driving attentive to the road	the passenger is riding attentive to the road and the driver is driving inattentive to the road	Negation, Scope		2	Relation
49	it wears a hat but the person doesn't	the person wears a hat but it doesn't	Pronoun, Noun Phrase		2	Object
50	the person with green legs is running quite slowly and the red legged one runs faster	the person with green legs is running faster and the red legged one runs quite slowly	Adjective-Speed Phrase, Verb-Intransitive	Symbolic, Series	2	Relation
51	a person is in the water and close to the sand	a person is close to the water and in the sand	Preposition Phrase		2	Relation
52	a frog is above rocks which are under the water	a frog is under rocks which are above the water	Preposition		2	Relation
53	driving off the road and on the unpaved terrain	driving on the road and off the unpaved terrain	Preposition		2	Relation
54	someone is in a helicopter with a car	someone is with a helicopter in a car	Preposition	Symbolic	1	Relation
55	the green one can fit inside the blue one and the blue one can fit outside the green one	the green one can fit outside the blue one and the blue one can fit inside the green one	Preposition	Symbolic	2	Relation
56	jumping away from the photographer and towards the others	jumping towards the photographer and away from the others	Preposition Phrase		2	Relation
57	someone bakes the dough before the dough is eaten	the dough is eaten before someone bakes the dough	Sentence		2	Relation
58	it hatched before it was eaten	it was eaten before it hatched	Verb-Intransitive		2	Relation
59	there are three bananas and two apples	there are two bananas and three apples	Determiner-Numeral		1	Relation
60	someone has loaded their plate with one of the toast slices and two of the eggs	someone has loaded their plate with two of the toast slices and one of the eggs	Determiner-Numeral		1	Relation
61	there are three people and two windows	there are two people and three windows	Determiner-Numeral	Symbolic	1	Relation
62	there are 50 stars on the right flag and 5 stars on the left flag	there are 5 stars on the right flag and 50 stars on the left flag	Determiner-Numeral	Symbolic	2	Relation
63	no people wear blue shirts and six people wear white shirts	six people wear blue shirts and no people wear white shirts	Determiner-Numeral		2	Relation
64	the dog's leg is on the person's torso	the person's leg is on the dog's torso	Determiner-Possessive		1	Relation
65	the animal's eyes are bigger than the person's	the person's eyes are bigger than the animal's	Determiner-Possessive		1	Relation
66	the taller person's arm is around the shorter person's shoulder	the shorter person's arm is around the taller person's shoulder	Determiner-Possessive		1	Relation
67	the person in a brown coat looks back and the person in a black coat looks forward	the person in a black coat looks back and the person in a brown coat looks forward	Adjective-Color	Series	2	Relation
68	it ran away while they pursued	they ran away while it pursued	Pronoun, Verb-Intransitive		2	Object
69	almost everyone is in a boat and one is swimming	one is in a boat and almost everyone is swimming	Determiner-Numeral Phrase		2	Object
70	the person with the lighter shoes is holding an emoji and the person with the darker shoes isn't	the person with the darker shoes is holding an emoji and the person with the lighter shoes isn't	Adjective-Color	Symbolic, Series	2	Relation
71	the person wearing neutral colors poses and the person wearing brighter colors takes a picture	the person wearing brighter colors poses and the person wearing neutral colors takes a picture	Adjective-Color		2	Relation
72	it's a fire truck	it's a truck fire	Noun		1	Object
73	watching the present	presenting the watch	Altered POS	Morpheme-Level	1	Both
74	walking out on a rock	rocking out on a walk	Altered POS	Morpheme-Level	1	Both
75	the kid with the magnifying glass looks at them	the kid looks at them with the magnifying glass	Preposition Phrase, Scope	Pragmatics	1	Relation
76	the person with the kids is sitting	the person is sitting with the kids	Preposition Phrase, Scope	Pragmatics	1	Relation
77	the people with shoes are touching each other	the people are touching each other with shoes	Preposition Phrase, Scope	Pragmatics	1	Relation
78	someone with an apple is hurt by a tree	someone is hurt by a tree with an apple	Preposition Phrase, Scope	Symbolic, Pragmatics	1	Relation
79	the person that is on the table is eating the food	the person is eating the food that is on the table	Preposition Phrase, Scope		1	Relation
80	the watering can is larger than the pot	the pot is larger than the watering can	Noun		1	Object
81	they hold a suitcase handle with their left hand and they hold a passport with their right hand	they hold a passport with their left hand and they hold a suitcase handle with their right hand	Noun		2	Object
82	the person with the patterned shirt is curly-haired and the other is straight-haired	the person with the patterned shirt is straight-haired and the other is curly-haired	Adjective-Texture		2	Relation
83	a diagram showing movement from right to left	a diagram showing movement from left to right	Preposition	Symbolic	1	Relation
84	the flip flops are too big for these feet	the feet are too big for these flip flops	Noun		1	Object
85	the person who is wearing a crown is kissing a frog	the person is kissing a frog who is wearing a crown	Relative Clause, Scope		1	Relation
86	a dog sitting on a couch with a person lying on the floor	a person lying on a couch with a dog sitting on the floor	Noun, Verb-Intransitive		2	Both
87	The uncaged bird has an opened cage door	The caged bird has an unopened cage door	Negation, Scope	Morpheme-Level, Series	1	Relation
88	meat with potatoes	potatoes with meat	Noun	Pragmatics	1	Object
89	the person in pink was close to not winning	the person in pink was not close to winning	Negation, Scope	Symbolic	1	Relation
90	two humans and one wheel	two wheels and one human	Noun	Morpheme-Level	1	Object
91	clothing on lines	lines on clothing	Noun		1	Object
92	someone talks on the phone angrily while another person sits happily	someone talks on the phone happily while another person sits angrily	Adverb-Animate		2	Relation
93	two boats and one direction down the stream	one boat and two directions down the stream	Determiner-Numeral	Symbolic, Morpheme-Level	1	Relation
94	The dog rides without a visible tongue	The dog rides with a visible tongue out	Negation, Scope		1	Relation
95	handing a hammer	hammering a hand	Altered POS		1	Both
96	leaves its shedding	shedding its leaves	Altered POS		1	Both
97	they are using no bait but still got fish	they are using bait but still got no fish	Negation, Scope		2	Relation
98	someone on the ground is spraying water towards a vehicle	someone is on a vehicle spraying water towards the ground	Verb-Transitive, Noun		1	Both
99	the dog wears as a hat what someone would normally bite	the dog bites what someone would normally wear as a hat	Verb-Transitive Phrase, Verb-Intransitive, Preposition Phrase	Morpheme-Level	2	Relation
100	the happy one is on the left and the upset one is on the right	the upset one is on the left and the happy one is on the right	Adjective-Animate		2	Relation
101	fake mustache and real hair on head	real mustache and fake hair on head	Adjective-Animate		1	Relation
102	real cat with toy baby	toy cat with real baby	Adjective-Animate		1	Relation
103	the lion is loud and the lionness is quiet	the lion is quiet and the lionness is loud	Adjective-Animate		2	Relation
104	there is a pink couch with green pillows	there is a green couch with pink pillows	Adjective-Color		1	Relation
105	light colored dog with dark colored cat	dark colored dog with light colored cat	Adjective-Color		1	Relation
106	someone is wearing a black hat and yellow shirt	someone is wearing a yellow hat and black shirt	Adjective-Color		1	Relation
107	black socks and orange shoes	orange socks and black shoes	Adjective-Color	Symbolic	1	Relation
108	red building with white shutters	white building with red shutters	Adjective-Color		1	Relation
109	blue pants and green top	green pants and blue top	Adjective-Color		1	Relation
110	there's one blue and many yellow balls	there's one yellow and many blue balls	Adjective-Color	Symbolic	1	Relation
111	there are more silver coins than gold coins	there are more gold coins than silver coins	Adjective-Color		1	Relation
112	the red team kicking the ball directly next to the blue team	the blue team kicking the ball directly next to the red team	Adjective-Color		1	Relation
113	black dog wearing a brown sweater	brown dog wearing a black sweater	Adjective-Color		1	Relation
114	one green apple surrounded by a bunch of red apples	one red apple surrounded by a bunch of green apples	Adjective-Color		1	Relation
115	person in white is reading the orange book	person in orange is reading the white book	Adjective-Color		1	Relation
116	the children are being quiet while the adult is loud	the children are being loud while the adult is quiet	Adjective-Manner		2	Relation
117	the circular mirror is on the left and the rectangular mirror is on the right	the rectangular mirror is on the left and the circular mirror is on the right	Adjective-Shape		2	Relation
118	circular food on heart-shaped wood	heart-shaped food on circular wood	Adjective-Shape		1	Relation
119	the dress on the left is long and the dress on the right is short	the dress on the left is short and the dress on the right is long	Adjective-Size		2	Relation
120	the balloon in the middle has less air and the other balloons have more air	the balloon in the middle has more air and the other balloons have less air	Adjective-Size		2	Relation
121	the pool has no people and the area around it has a lot of people	the pool has a lot of people and the area around it has no people	Adjective-Size		2	Relation
122	big fish beside a small person	small fish beside a big person	Adjective-Size		1	Relation
123	the train is moving fast while the person is still	the train is still while the person is moving fast	Adjective-Speed		2	Relation
124	they're enjoying hot water on a cold day	they're enjoying cold water on a hot day	Adjective-Temperature		1	Relation
125	concrete floors with wood walls	wood floors with concrete walls	Adjective-Texture		1	Relation
126	the person on the left has curly hair and the person on the right has straight hair	the person on the left has straight hair and the person on the right has curly hair	Adjective-Texture		2	Relation
127	there's a metal bottle with a plastic lid	there's a plastic bottle with a metal lid	Adjective-Texture		1	Relation
128	the fruit is heavy while the junk food is light	the fruit is light while the junk food is heavy	Adjective-Weight		2	Relation
129	the car is sitting upside down while the person is standing rightside up	the car is sitting rightside up while the person is standing upside down	Adverb-Spatial		2	Relation
130	the cup on the left is filled first and the cup on the right is filled second	the cup on the left is filled second and the cup on the right is filled first	Adverb-Temporal		2	Relation
131	milk cow	cow milk	Noun		1	Object
132	there is a clock wall	there is a wall clock	Noun		1	Object
133	there is a split banana	there is a banana split	Altered POS		1	Both
134	there are two people and a bunch of horses	there are a bunch of people and two horses	Determiner-Numeral		1	Relation
135	three white and two brown eggs	two white and three brown eggs	Determiner-Numeral		1	Relation
136	the plastic is in the fish	the fish is in the plastic	Noun	Symbolic	1	Object
137	the dog's paw is on the cat's face	the cat's paw is on the dog's face	Determiner-Possessive		1	Relation
138	the computer's screen is on and the phone's screen is off	the phone's screen is on and the computer's screen is off	Determiner-Possessive		2	Relation
139	the dog is in the driver's seat and the person is in the passenger's seat	the dog is in the passenger's seat and the person is in the driver's seat	Determiner-Possessive		2	Relation
140	there are more trees than people	there are more people than trees	Noun		1	Object
141	there are more computers than people	there are more people than computers	Noun		1	Object
142	there is more wood than metal	there is more metal than wood	Noun		1	Object
143	there are more hats than people	there are more people than hats	Noun		1	Object
144	there are more people than stools	there are more stools than people	Noun		1	Object
145	there is more red wine than white wine	there is more white wine than red wine	Adjective-Color		1	Relation
146	there's more milk than coffee	there's more coffee than milk	Noun		1	Object
147	there's more cereal in the bowl than milk	there's more milk in the bowl than cereal	Noun		1	Object
148	boat sail	sail boat	Noun		1	Object
149	boat house	house boat	Noun		1	Object
150	check a rip	rip a check	Altered POS		1	Both
151	dress the display	display the dress	Altered POS		1	Both
152	spoon holding honey	honey holding spoon	Noun		1	Object
153	books holding up a person	a person holding up books	Noun Phrase		1	Object
154	a dog is using a wheelchair next to a person	a person is using a wheelchair next to a dog	Noun		1	Object
155	some plants surrounding a lightbulb	a lightbulb surrounding some plants	Determiner-Numeral, Noun Phrase		1	Object
156	a more lightly-colored dog is holding a toy next to a black dog	a black dog is holding a toy next to a more lightly-colored dog	Adjective-Color		1	Relation
157	the flowers are taller than the people	the people are taller than the flowers	Noun		1	Object
158	there's a human in a stroller next to a dog	there's a dog in a stroller next to a human	Noun		1	Object
159	a person is casting a shadow beside a ball	a ball is casting a shadow beside a person	Noun		1	Object
160	its tail is shorter than its body	its body is shorter than its tail	Noun		1	Object
